"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.630017923E0,5.087719560E-1,5.263157934E-2,1.578947306E-1,5.353034021E-1
1.640029154E0,4.912280738E-1,5.263157934E-2,1.929824501E-1,5.303935612E-1
1.650001461E0,4.736842215E-1,5.263157934E-2,2.105263174E-1,5.210260600E-1
1.661110230E0,4.561403394E-1,5.263157934E-2,2.280701697E-1,5.126890819E-1
1.669998461E0,4.385964870E-1,5.263157934E-2,2.105263174E-1,4.893447577E-1
1.680021000E0,4.210526347E-1,5.263157934E-2,2.105263174E-1,4.736842141E-1
1.690389692E0,3.859649003E-1,5.263157934E-2,1.929824501E-1,4.347196952E-1
1.700006923E0,3.684210479E-1,7.017543912E-2,1.578947306E-1,4.069267830E-1
1.710135230E0,3.508771956E-1,7.017543912E-2,1.403508782E-1,3.843667099E-1
1.720015692E0,3.333333433E-1,7.017543912E-2,8.771929890E-2,3.517533019E-1
1.730743000E0,3.157894611E-1,8.771929890E-2,5.263157934E-2,3.319453906E-1
1.740289154E0,2.807017565E-1,1.052631587E-1,0.000000000E0,2.997896073E-1
1.750351077E0,2.456140369E-1,1.052631587E-1,1.754385978E-2,2.677953971E-1
1.760019692E0,2.105263174E-1,7.017543912E-2,1.052631587E-1,2.456140369E-1
1.770584077E0,2.105263174E-1,5.263157934E-2,1.052631587E-1,2.411881963E-1
1.779999615E0,2.280701697E-1,5.263157934E-2,1.052631587E-1,2.566445363E-1
1.790204461E0,2.105263174E-1,5.263157934E-2,1.228070185E-1,2.493450967E-1
1.800606923E0,1.929824501E-1,5.263157934E-2,1.403508782E-1,2.443576850E-1
1.809998692E0,2.105263174E-1,3.508771956E-2,1.403508782E-1,2.554424542E-1
1.820203692E0,2.105263174E-1,3.508771956E-2,1.578947306E-1,2.654867686E-1
1.830008769E0,2.105263174E-1,3.508771956E-2,1.578947306E-1,2.654867686E-1
1.841165692E0,1.929824501E-1,3.508771956E-2,1.578947306E-1,2.518017475E-1
1.850005769E0,2.105263174E-1,3.508771956E-2,1.578947306E-1,2.654867686E-1
1.860015077E0,2.105263174E-1,3.508771956E-2,1.403508782E-1,2.554424542E-1
1.869997923E0,2.105263174E-1,5.263157934E-2,1.228070185E-1,2.493450967E-1
1.880133154E0,2.280701697E-1,5.263157934E-2,1.052631587E-1,2.566445363E-1
1.890403692E0,2.456140369E-1,5.263157934E-2,1.052631587E-1,2.723539441E-1
1.900008846E0,2.631579041E-1,5.263157934E-2,8.771929890E-2,2.823417097E-1
1.910200230E0,2.631579041E-1,5.263157934E-2,1.052631587E-1,2.882750392E-1
1.920013384E0,2.807017565E-1,5.263157934E-2,8.771929890E-2,2.987611665E-1
1.930034923E0,2.982456088E-1,7.017543912E-2,8.771929890E-2,3.187000327E-1
1.939998077E0,2.982456088E-1,7.017543912E-2,8.771929890E-2,3.187000327E-1
1.950013230E0,3.157894611E-1,7.017543912E-2,7.017543912E-2,3.310168701E-1
1.960557769E0,3.333333433E-1,7.017543912E-2,3.508771956E-2,3.424424887E-1
1.970013615E0,3.684210479E-1,7.017543912E-2,1.754385978E-2,3.754549878E-1
1.980001230E0,3.684210479E-1,7.017543912E-2,0.000000000E0,3.750448784E-1
1.991669769E0,3.859649003E-1,7.017543912E-2,0.000000000E0,3.922926159E-1
2.000025769E0,3.859649003E-1,7.017543912E-2,-1.754385978E-2,3.926847126E-1
2.009998000E0,3.684210479E-1,7.017543912E-2,-3.508771956E-2,3.766826368E-1
2.020032230E0,3.508771956E-1,7.017543912E-2,-3.508771956E-2,3.595421348E-1
2.030239154E0,3.333333433E-1,7.017543912E-2,-5.263157934E-2,3.446821625E-1
2.040017769E0,3.508771956E-1,7.017543912E-2,-7.017543912E-2,3.646422780E-1
2.049999769E0,3.859649003E-1,7.017543912E-2,-8.771929890E-2,4.019803128E-1
2.060011846E0,4.035087824E-1,5.263157934E-2,-1.052631587E-1,4.203210121E-1
2.070004769E0,4.210526347E-1,5.263157934E-2,-1.052631587E-1,4.371907329E-1
2.080024461E0,4.210526347E-1,5.263157934E-2,-1.052631587E-1,4.371907329E-1
2.090075000E0,4.035087824E-1,7.017543912E-2,-1.228070185E-1,4.275809789E-1
2.100881461E0,4.035087824E-1,7.017543912E-2,-1.403508782E-1,4.329460691E-1
2.110022384E0,4.035087824E-1,7.017543912E-2,-1.228070185E-1,4.275809789E-1
2.120028307E0,4.035087824E-1,7.017543912E-2,-1.052631587E-1,4.228761784E-1
2.130090230E0,4.035087824E-1,7.017543912E-2,-1.052631587E-1,4.228761784E-1
2.140000769E0,4.035087824E-1,5.263157934E-2,-1.228070185E-1,4.250540958E-1
2.150319923E0,4.210526347E-1,5.263157934E-2,-1.403508782E-1,4.469382210E-1
2.160721923E0,4.385964870E-1,5.263157934E-2,-1.403508782E-1,4.635033232E-1
2.170045615E0,4.385964870E-1,5.263157934E-2,-1.578947306E-1,4.691137469E-1
2.180230077E0,4.561403394E-1,5.263157934E-2,-1.578947306E-1,4.855562154E-1
2.190313230E0,4.561403394E-1,5.263157934E-2,-1.578947306E-1,4.855562154E-1
2.200510384E0,4.736842215E-1,3.508771956E-2,-1.578947306E-1,5.005383459E-1
2.210003307E0,4.736842215E-1,3.508771956E-2,-1.578947306E-1,5.005383459E-1
2.220013307E0,4.736842215E-1,3.508771956E-2,-1.578947306E-1,5.005383459E-1
2.229999000E0,4.912280738E-1,3.508771956E-2,-1.578947306E-1,5.171720357E-1
