"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.029987231E0,-7.877141237E-3,8.821666241E-3,1.571054459E-1,1.575499675E-1
2.039998692E0,-2.933889627E-3,-6.976753473E-3,1.620931625E-1,1.622697635E-1
2.049984923E0,-6.936103106E-3,-1.072397828E-2,1.620817184E-1,1.625841219E-1
2.060346846E0,-1.285377145E-2,-3.569781780E-3,1.560792923E-1,1.566483586E-1
2.070017077E0,-9.808778763E-3,-1.447468996E-3,1.500749588E-1,1.504021295E-1
2.080002077E0,5.028367043E-3,3.602385521E-3,1.470661163E-1,1.471961420E-1
2.090011846E0,8.812248707E-3,7.592439651E-3,1.420574188E-1,1.425328422E-1
2.100143308E0,-1.260757446E-3,1.448637247E-2,1.440591812E-1,1.447912020E-1
2.110455539E0,-3.308445215E-3,1.636105776E-2,1.510629654E-1,1.519823988E-1
2.119997923E0,-4.342675209E-3,8.349537849E-3,1.560621262E-1,1.563456454E-1
2.129992615E0,-2.406477928E-3,4.396110773E-3,1.610574722E-1,1.611354284E-1
2.140118231E0,4.435032606E-3,7.404565811E-3,1.660499573E-1,1.662741273E-1
2.149986615E0,3.293454647E-3,4.449814558E-3,1.600418091E-1,1.601375295E-1
2.160231615E0,-1.773536205E-3,-1.428335905E-3,1.480331421E-1,1.480506560E-1
2.169986462E0,-1.839458942E-3,-3.280311823E-3,1.480236053E-1,1.480713740E-1
2.180008615E0,6.969094276E-3,3.770977259E-3,1.540145874E-1,1.542182923E-1
2.190080615E0,1.269730926E-2,1.170915365E-2,1.510057449E-1,1.519903317E-1
2.200156615E0,3.557145596E-3,9.665399790E-3,1.360015869E-1,1.363910000E-1
2.209996769E0,-5.447894335E-3,4.690557718E-3,1.320009232E-1,1.321965378E-1
2.220028077E0,-7.431536913E-3,5.708456039E-3,1.420001984E-1,1.423090670E-1
2.230665231E0,-5.447715521E-3,8.688569069E-3,1.490011215E-1,1.493536175E-1
2.240568539E0,-3.494799137E-3,7.687896490E-3,1.589984894E-1,1.592226020E-1
2.250137923E0,2.374649048E-3,9.665995836E-3,1.669940948E-1,1.672904604E-1
2.260207385E0,6.192892790E-3,1.358664036E-2,1.609907150E-1,1.616816596E-1
2.270505154E0,2.069294453E-3,1.448962092E-2,1.549892426E-1,1.556788245E-1
2.280132692E0,-3.972142935E-3,1.341119409E-2,1.589918137E-1,1.596058735E-1
2.290010231E0,-5.986094475E-3,8.402228355E-3,1.599912643E-1,1.603235336E-1
2.299986308E0,-1.092511415E-2,9.373128414E-3,1.499948502E-1,1.506840029E-1
2.309986769E0,-1.381596923E-2,1.722443104E-2,1.410064697E-1,1.427248631E-1
2.320091077E0,-1.666182280E-2,2.101624012E-2,1.360225677E-1,1.386413994E-1
2.329998231E0,-1.650944352E-2,1.883929968E-2,1.370372772E-1,1.393079190E-1
2.340654385E0,-1.143613458E-2,1.275670528E-2,1.430435181E-1,1.440658418E-1
2.350220231E0,-1.630097628E-2,9.723961353E-3,1.510515213E-1,1.522394145E-1
2.362307000E0,-1.814147830E-2,7.720202208E-3,1.530570984E-1,1.543217098E-1
2.369992385E0,-1.107683778E-2,2.783030272E-3,1.480569839E-1,1.484968420E-1
2.379991462E0,-5.095213652E-3,1.857519150E-3,1.450529099E-1,1.451542567E-1
2.390025000E0,-1.299780607E-2,1.929402351E-3,1.410541534E-1,1.416648854E-1
2.400101539E0,-2.078312635E-2,-3.915816545E-3,1.370563507E-1,1.386784599E-1
2.409986154E0,-1.072055101E-2,-1.066297293E-2,1.450462341E-1,1.458322298E-1
2.420185385E0,-1.790761948E-3,-6.467878819E-3,1.560354233E-1,1.561796837E-1
2.430048923E0,-2.846986055E-3,7.533252239E-3,1.570329666E-1,1.572393329E-1
2.440426231E0,-9.296834469E-4,1.542341709E-2,1.540346146E-1,1.548076503E-1
2.449986308E0,-1.007854939E-3,1.530936360E-2,1.500358582E-1,1.508182718E-1
2.462025539E0,-9.960621595E-3,7.309287786E-3,1.500377655E-1,1.505455770E-1
2.470038846E0,-1.583150029E-2,1.393288374E-3,1.510391235E-1,1.518729551E-1
2.479997308E0,-1.669290662E-2,1.477181911E-3,1.540422440E-1,1.549511153E-1
2.490003000E0,-8.671820164E-3,1.142850518E-2,1.620445251E-1,1.626783308E-1
2.500588308E0,-2.733647823E-3,7.436662912E-3,1.660423279E-1,1.662312589E-1
2.510151154E0,-6.738245487E-3,5.468785763E-3,1.610412598E-1,1.612749172E-1
2.519987692E0,-1.363992691E-2,9.439438581E-3,1.510457993E-1,1.519538880E-1
2.530077923E0,-7.213354111E-4,7.433831692E-3,1.440420151E-1,1.442355167E-1
2.539988615E0,5.113571882E-3,7.430374622E-3,1.490354538E-1,1.493081564E-1
2.550121846E0,1.283863187E-2,4.472255707E-3,1.540231705E-1,1.546220184E-1
2.562037769E0,1.256722212E-2,1.042750478E-2,1.500129700E-1,1.508991686E-1
2.569985539E0,9.341865778E-3,1.038536429E-2,1.530056000E-1,1.536419209E-1
2.580445615E0,-4.688113928E-3,7.387638092E-3,1.540050507E-1,1.542533994E-1
2.589996692E0,-7.675737143E-3,7.389247417E-3,1.560049057E-1,1.563683105E-1
2.600015308E0,-9.637445211E-3,4.433542490E-3,1.570043564E-1,1.573623353E-1
2.610284077E0,-2.690434456E-3,8.414149284E-3,1.450033188E-1,1.452721543E-1
2.619990077E0,-8.655250072E-3,1.332095265E-2,1.410083771E-1,1.419004001E-1
